Faculty,Position,Gender,Management,DBLP,Area
A S Madhukumar,Associate Professor,M,N,https://dblp.uni-trier.de/pers/m/Madhukumar:A=_S=.html,Computer Networks
Alexei Sourin,Associate Professor,M,N,https://dblp.org/pers/s/Sourin:Alexei.html,Computer Graphics
Alvin Chan,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/163/6518.html,
Anupam Chattopadhyay,Associate Professor,M,N,https://dblp.org/pers/c/Chattopadhyay:Anupam.html,Computer Architecture
Anwitaman Datta,Associate Professor,M,N,https://dblp.org/pers/d/Datta:Anwitaman.html,Distributed Systems
Arijit Khan,Assistant Professor,M,N,https://dblp.org/pid/67/2933.html,Data Management
Arvind Easwaran,Associate Professor,M,N,https://dblp.org/pers/e/Easwaran:Arvind.html,Computer Architecture
Bo An,Associate Professor,M,N,https://dblp.org/pid/42/6178-1.html,AI/ML
Boyang Li,Associate Professor,M,N,https://dblp.org/pid/70/1211.html,AI/ML
Cai Jianfei,Professor,M,N,https://dblp.org/pid/83/6096.html,Computer Vision
Cai Wentong,Professor,M,Y,https://dblp.org/pid/83/3179.html,Distributed Systems
Cham Tat Jen,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cham:Tat=Jen.html,Computer Vision
Chan Syin,Associate Professor,F,N,https://dblp.org/pers/c/Chan:Syin.html,Computer Networks
Chee Wei Tan,Associate Professor,M,N,https://dblp.uni-trier.de/pid/163/6518.html,
Chen Change Loy,Professor,M,N,https://dblp.uni-trier.de/pid/01/5855.html,
Chia Liang Tien Clement,Associate Professor,M,N,https://dblp.org/pers/c/Chia:Liang=Tien.html,Multimedia
Chng Eng Siong,Associate Professor,M,N,https://dblp.org/pers/s/Siong:Chng_Eng.html,AI/ML
Cong Gao,Professor,M,N,https://dblp.uni-trier.de/pers/c/Cong:Gao.html,Data Mining
Conrad Watt,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/165/2801.html,
Deepu Rajan,Associate Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajan:Deepu.html,Computer Vision
Dmitrii Ustiugov ,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/191/7824.html,
Douglas Leslie Maskell,Associate Professor,M,N,https://dblp.org/pers/m/Maskell:Douglas_L=.html,Computer Architecture
Dusit Niyato,Professor,M,N,https://dblp.uni-trier.de/pers/n/Niyato:Dusit.html,Computer Networks
Erik Cambria,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cambria:Erik.html,AI/ML
Fan Xiuyi ,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/35/6803.html,
Goh Wooi Boon,Associate Professor,M,N,https://dblp.org/pers/g/Goh:Wooi=Boon.html,HCI
Guan Cuntai,Professor,M,N,https://dblp.org/pers/g/Guan:Cuntai.html,AI/ML
He Ying,Associate Professor,M,N,https://dblp.uni-trier.de/pid/h/YingHe1.html,Computer Graphics
Huang Shell Ying,Senior Lecturer,F,N,https://dblp.org/pers/h/Huang:Shell=Ying.html,Distributed Systems
Hui Siu Cheung,Associate Professor,M,N,https://dblp.org/pers/h/Hui:Siu_Cheung.html,Information Retrieval
Jie Xiong,Associate Professor,M,N,https://dblp.uni-trier.de/pid/75/198-1.html,
Joty Shafiq Rayhan,Assistant Professor,M,N,https://dblp.org/pers/j/Joty:Shafiq_R=.html,AI/ML
Ke Yiping Kelly,Assistant Professor,F,N,https://dblp.uni-trier.de/pers/k/Ke:Yiping.html,AI/ML
Kong Wai-Kin Adams,Associate Professor,M,N,https://dblp.org/pers/k/Kong:Adams_Wai=Kin.html,Computer Vision
