colab_id,author_pid,author_name,year,collaborator_pid,collaborator_name
1,15/3108,Alexei Sourin,2004,s/SeahHockSoon,Seah Hock Soon
2,163/6518,Alvin Chan,2023,64/4136,Yew-Soon Ong
3,163/6518,Alvin Chan,2022,64/4136,Yew-Soon Ong
4,163/6518,Alvin Chan,2022,51/3710-3,Yang Liu 0003
5,163/6518,Alvin Chan,2022,64/4136,Yew Soon Ong
6,163/6518,Alvin Chan,2022,64/4136,Yew Soon Ong
7,163/6518,Alvin Chan,2022,64/4136,Yew-Soon Ong
8,163/6518,Alvin Chan,2022,64/4136,Yew-Soon Ong
9,163/6518,Alvin Chan,2021,64/4136,Yew-Soon Ong
10,163/6518,Alvin Chan,2021,64/4136,Yew-Soon Ong
11,163/6518,Alvin Chan,2021,81/8329,Anh Tuan Luu
12,163/6518,Alvin Chan,2021,65/3225,Siu Cheung Hui
13,163/6518,Alvin Chan,2021,81/8329,Anh Tuan Luu
14,163/6518,Alvin Chan,2021,65/3225,Siu Cheung Hui
15,163/6518,Alvin Chan,2021,64/4136,Yew-Soon Ong
16,163/6518,Alvin Chan,2020,81/8329,Anh Tuan Luu
17,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
18,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
19,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
20,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
21,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
22,163/6518,Alvin Chan,2019,64/4136,Yew-Soon Ong
23,163/6518,Alvin Chan,2019,64/4136,Yew-Soon Ong
24,163/6518,Alvin Chan,2019,64/4136,Yew-Soon Ong
25,163/6518,Alvin Chan,2018,51/3710-3,Yang Liu 0003
26,163/6518,Alvin Chan,2018,64/4136,Yew-Soon Ong
27,99/4535,Anupam Chattopadhyay,2024,76/440,Dusit Niyato
28,99/4535,Anupam Chattopadhyay,2024,80/7421,Erik Cambria
29,99/4535,Anupam Chattopadhyay,2023,10/1993,Kwok-Yan Lam
30,99/4535,Anupam Chattopadhyay,2021,10/1993,Kwok-Yan Lam
31,99/4535,Anupam Chattopadhyay,2020,95/7006,Cuntai Guan
32,99/4535,Anupam Chattopadhyay,2020,73/1708,Arvind Easwaran
33,99/4535,Anupam Chattopadhyay,2020,73/1708,Arvind Easwaran
34,99/4535,Anupam Chattopadhyay,2019,41/8030,Sourav Sen Gupta 0001
35,99/4535,Anupam Chattopadhyay,2019,41/8030,Sourav Sen Gupta 0001
36,99/4535,Anupam Chattopadhyay,2019,84/2408,Owen Noel Newton Fernando
37,99/4535,Anupam Chattopadhyay,2019,s/SeahHockSoon,Hock Soon Seah
38,99/4535,Anupam Chattopadhyay,2019,41/8030,Sourav Sen Gupta 0001
39,99/4535,Anupam Chattopadhyay,2019,84/2408,Owen Noel Newton Fernando
40,99/4535,Anupam Chattopadhyay,2019,s/SeahHockSoon,Hock Soon Seah
41,99/4535,Anupam Chattopadhyay,2019,41/8030,Sourav Sen Gupta 0001
42,99/4535,Anupam Chattopadhyay,2019,41/8030,Sourav Sen Gupta 0001
43,99/4535,Anupam Chattopadhyay,2018,10/1993,Kwok-Yan Lam
44,99/4535,Anupam Chattopadhyay,2018,10/1993,Kwok-Yan Lam
45,99/4535,Anupam Chattopadhyay,2018,10/1993,Kwok-Yan Lam
46,99/4535,Anupam Chattopadhyay,2018,41/8030,Sourav Sen Gupta 0001
47,99/4535,Anupam Chattopadhyay,2018,10/1993,Kwok-Yan Lam
48,99/4535,Anupam Chattopadhyay,2018,10/1993,Kwok-Yan Lam
49,99/4535,Anupam Chattopadhyay,2018,41/8030,Sourav Sen Gupta 0001
50,99/4535,Anupam Chattopadhyay,2018,10/1993,Kwok-Yan Lam
51,99/4535,Anupam Chattopadhyay,2018,73/1708,Arvind Easwaran
52,99/4535,Anupam Chattopadhyay,2018,10/1993,Kwok-Yan Lam
53,99/4535,Anupam Chattopadhyay,2017,80/7421,Erik Cambria
54,99/4535,Anupam Chattopadhyay,2017,73/1708,Arvind Easwaran
55,99/4535,Anupam Chattopadhyay,2017,73/1708,Arvind Easwaran
56,99/4535,Anupam Chattopadhyay,2017,10/1993,Kwok-Yan Lam
57,99/4535,Anupam Chattopadhyay,2017,10/1993,Kwok-Yan Lam
58,99/4535,Anupam Chattopadhyay,2016,23/1694,Thambipillai Srikanthan
59,99/4535,Anupam Chattopadhyay,2016,23/1694,Thambipillai Srikanthan
60,99/4535,Anupam Chattopadhyay,2013,41/8030,Sourav Sen Gupta 0001
61,99/4535,Anupam Chattopadhyay,2013,41/8030,Sourav Sen Gupta 0001
62,99/4535,Anupam Chattopadhyay,2012,41/8030,Sourav Sen Gupta 0001
63,99/4535,Anupam Chattopadhyay,2011,41/8030,Sourav Sen Gupta 0001
64,d/AnwitamanDatta,Anwitaman Datta,2013,78/5155,Aixin Sun
65,d/AnwitamanDatta,Anwitaman Datta,2012,78/5155,Aixin Sun
66,d/AnwitamanDatta,Anwitaman Datta,2012,78/5155,Aixin Sun
67,d/AnwitamanDatta,Anwitaman Datta,2012,78/5155,Aixin Sun
68,d/AnwitamanDatta,Anwitaman Datta,2012,l/BuSungLee,Bu-Sung Lee
69,d/AnwitamanDatta,Anwitaman Datta,2012,84/6889-2,Jie Zhang 0002
70,d/AnwitamanDatta,Anwitaman Datta,2011,78/5155,Aixin Sun
71,d/AnwitamanDatta,Anwitaman Datta,2011,78/5155,Aixin Sun
72,d/AnwitamanDatta,Anwitaman Datta,2011,78/5155,Aixin Sun
73,d/AnwitamanDatta,Anwitaman Datta,2010,78/5155,Aixin Sun
74,d/AnwitamanDatta,Anwitaman Datta,2010,78/5155,Aixin Sun
75,d/AnwitamanDatta,Anwitaman Datta,2010,n/WeeKeongNg,Wee Keong Ng
76,d/AnwitamanDatta,Anwitaman Datta,2009,78/5155,Aixin Sun
77,d/AnwitamanDatta,Anwitaman Datta,2009,78/5155,Aixin Sun
78,d/AnwitamanDatta,Anwitaman Datta,2008,n/WeeKeongNg,Wee Keong Ng
79,d/AnwitamanDatta,Anwitaman Datta,2008,78/5155,Aixin Sun
80,67/2933,Arijit Khan 0001,2025,117/5965,Siqiang Luo
