colab_id,author_pid,author_name,year,collaborator_pid,collaborator_name
1,15/3108,Alexei Sourin,2025,15/3108,Alexei Sourin
2,15/3108,Alexei Sourin,2024,15/3108,Alexei Sourin
3,15/3108,Alexei Sourin,2024,15/3108,Alexei Sourin
4,15/3108,Alexei Sourin,2024,15/3108,Alexei Sourin
5,15/3108,Alexei Sourin,2023,15/3108,Alexei Sourin
6,15/3108,Alexei Sourin,2023,15/3108,Alexei Sourin
7,15/3108,Alexei Sourin,2023,15/3108,Alexei Sourin
8,15/3108,Alexei Sourin,2022,15/3108,Alexei Sourin
9,15/3108,Alexei Sourin,2022,15/3108,Alexei Sourin
10,15/3108,Alexei Sourin,2022,15/3108,Alexei Sourin
11,15/3108,Alexei Sourin,2022,15/3108,Alexei Sourin
12,15/3108,Alexei Sourin,2021,15/3108,Alexei Sourin
13,15/3108,Alexei Sourin,2021,15/3108,Alexei Sourin
14,15/3108,Alexei Sourin,2021,15/3108,Alexei Sourin
15,15/3108,Alexei Sourin,2021,15/3108,Alexei Sourin
16,15/3108,Alexei Sourin,2021,15/3108,Alexei Sourin
17,15/3108,Alexei Sourin,2020,15/3108,Alexei Sourin
18,15/3108,Alexei Sourin,2020,15/3108,Alexei Sourin
19,15/3108,Alexei Sourin,2020,15/3108,Alexei Sourin
20,15/3108,Alexei Sourin,2020,15/3108,Alexei Sourin
21,15/3108,Alexei Sourin,2019,15/3108,Alexei Sourin
22,15/3108,Alexei Sourin,2019,15/3108,Alexei Sourin
23,15/3108,Alexei Sourin,2019,15/3108,Alexei Sourin
24,15/3108,Alexei Sourin,2019,15/3108,Alexei Sourin
25,15/3108,Alexei Sourin,2019,15/3108,Alexei Sourin
26,15/3108,Alexei Sourin,2018,15/3108,Alexei Sourin
27,15/3108,Alexei Sourin,2018,15/3108,Alexei Sourin
28,15/3108,Alexei Sourin,2018,15/3108,Alexei Sourin
29,15/3108,Alexei Sourin,2018,15/3108,Alexei Sourin
30,15/3108,Alexei Sourin,2018,15/3108,Alexei Sourin
31,15/3108,Alexei Sourin,2018,15/3108,Alexei Sourin
32,15/3108,Alexei Sourin,2018,15/3108,Alexei Sourin
33,15/3108,Alexei Sourin,2017,15/3108,Alexei Sourin
34,15/3108,Alexei Sourin,2017,15/3108,Alexei Sourin
35,15/3108,Alexei Sourin,2017,15/3108,Alexei Sourin
36,15/3108,Alexei Sourin,2017,15/3108,Alexei Sourin
37,15/3108,Alexei Sourin,2017,15/3108,Alexei Sourin
38,15/3108,Alexei Sourin,2017,15/3108,Alexei Sourin
39,15/3108,Alexei Sourin,2017,15/3108,Alexei Sourin
40,15/3108,Alexei Sourin,2016,15/3108,Alexei Sourin
41,15/3108,Alexei Sourin,2016,15/3108,Alexei Sourin
42,15/3108,Alexei Sourin,2016,15/3108,Alexei Sourin
43,15/3108,Alexei Sourin,2016,15/3108,Alexei Sourin
