pid,name,degree_score
24/8616,Radu Timofte,0.029616052479259115
191/5298,Shangchen Zhou,0.021609106694964304
169/5585,Chongyi Li,0.017267991510708083
174/9678,Hongyang Du,0.01644800308701524
134/1620,Ruicheng Feng,0.016351533860698438
145/4239,Jiawen Kang 0001,0.01586918772911441
25/3038-5,Qing Guo 0005,0.014373914721203935
54/6827,Zhiwei Xiong,0.014132741655411923
174/9863,Zehui Xiong,0.014036272429095118
05/3499-37,Jing Zhang 0037,0.013505691684352691
43/7400,Yufei Xu,0.013312753231719082
79/3711,Ming-Hsuan Yang 0001,0.01326451861856068
232/2265,Hongyuan Yu,0.012589234034343044
93/2671,Wangmeng Zuo,0.01229982635539263
16/9879,Wenxiu Sun,0.012251591742234226
61/5017,Luc Van Gool,0.012251591742234226
79/1648,Matej Kristan,0.01210688790275902
61/1140,Jinwei Gu,0.011962184063283813
05/6300-2,Ziwei Liu 0002,0.011817480223808605
91/3680-8,Li Shen 0008,0.0117210109974918
03/5204-1,Xinmei Tian 0001,0.011479837931699788
73/7781,Baoyuan Wu,0.01133513409222458
82/6362-1,Qiang Yang 0001,0.011190430252749373
16/1278-5,Chao Dong 0005,0.011142195639590971
215/3264,Qingpeng Zhu,0.010997491800115763
36/4118,Haizhou Li 0001,0.010804553347482152
01/5858,Yang Gu,0.010804553347482152
05/8618,Fahad Shahbaz Khan,0.010804553347482152
331/2274,Yuekun Dai,0.01075631873432375
t/PhilipHSTorr,Philip H. S. Torr,0.010708084121165348
19/3230,Guangtao Zhai,0.010418676442214933
150/6667,Tongliang Liu,0.010370441829056531
40/3934-4,Dong Wang 0004,0.010032799536947714
17/1152-5,Wei Feng 0005,0.009936330310630908
59/2741,Xiang Bai,0.009888095697472506
01/753,Chau Yuen,0.0097916264711557
67/4236,Jinqiao Wang,0.0097916264711557
64/6544,Yi Zhang,0.009743391857997299
10/217,Cheng Chen,0.009646922631680493
348/7584-1,Zhenhua Feng 0001,0.009598688018522091
k/JosefKittler,Josef Kittler,0.009598688018522091
64/6896,Huchuan Lu,0.009502218792205286
52/3194-32,Fei Wang 0032,0.009453984179046884
57/145,Wenjun Zeng 0001,0.009405749565888482
73/4373-1,Ming Tang 0001,0.009405749565888482
83/514,Zhu Han 0001,0.00935751495273008
09/3625,Mehdi Bennis,0.009309280339571676
m/JiriMatas,Jiri Matas,0.009309280339571676
78/4523,Bin He,0.009164576500096468
70/3604-1,Chen Qian 0001,0.009116341886938066
84/3795,Nan Li,0.009068107273779664
09/3666,Lei Chen,0.009068107273779664
179/2548,Shan You,0.009068107273779664
93/8104,Shiming Ge,0.009068107273779664
