pid,name,pagerank_score
145/4239,Jiawen Kang 0001,0.001038670735796407
174/9863,Zehui Xiong,0.0009134548605289656
174/9678,Hongyang Du,0.0008084105883781403
91/3680-8,Li Shen 0008,0.0007271225476367065
83/514,Zhu Han 0001,0.0006855395121257758
05/3499-37,Jing Zhang 0037,0.0006472945575002659
l/XuelongLi,Xuelong Li 0001,0.0006468201327859771
82/6362-1,Qiang Yang 0001,0.0005802534035887895
150/6667,Tongliang Liu,0.0005674194529004004
05/6300-2,Ziwei Liu 0002,0.0005591372018899852
70/6443-1,Bo Du 0001,0.0005247925639800474
03/6772,Amir Hussain 0001,0.0004935763896296143
86/1369,Dong In Kim,0.0004862771952747528
l/EePengLim,Ee-Peng Lim,0.00048209916176508033
127/0713,Xiaofei Xie,0.00048145990329878565
88/3340-6,Liang Ding 0006,0.0004722345649630751
36/4118,Haizhou Li 0001,0.000469389186504526
76/3131,Cyril Leung,0.00046832026689830824
29/4867-20,Yong Liu 0020,0.00044789875372525697
s/JunSun1,Jun Sun 0001,0.00043817359844341096
65/1792,Huamin Qu,0.0004197108791798586
37/8852,Dinh Thai Hoang,0.0004188155308987917
24/8616,Radu Timofte,0.00041109141469819715
77/7902-4,Tianwei Zhang 0004,0.0003995428637830479
08/1924,Kai Keng Ang,0.0003989054502584877
191/5298,Shangchen Zhou,0.0003987786036102281
25/3038-5,Qing Guo 0005,0.0003977282502738176
l/XiaoliLi,Xiaoli Li 0001,0.0003967643897635034
37/1304-1,Ping Wang 0001,0.00039664612614317464
285/1721,Minrui Xu,0.00039348938175833514
24/6606,Tat-Seng Chua,0.00039300260951599403
y/ShuichengYan,Shuicheng Yan,0.00038499236318990547
116/4904,Soujanya Poria,0.0003849804451581797
35/5873,Ivor W. Tsang,0.00037997121609441135
142/8486,Yibing Zhan,0.00037857593217289473
k/AlexChiChungKot,Alex C. Kot,0.00037730397421693575
82/5713,Lizhen Cui,0.00037463065348680306
93/6765-1,Meng Wang 0001,0.0003741858618543402
324/1909,Rui Mao 0010,0.00036895241250286
57/5272-2,Yong Luo 0002,0.00036717523763854184
01/753,Chau Yuen,0.0003667335094197505
204/3729,Yuekang Li,0.00036435108318801296
t/StephenJohnTurner,Stephen John Turner,0.000361155539728655
55/7901-1,Xianglong Liu 0001,0.0003608247214364369
173/5360-1,Nguyen Cong Luong 0001,0.00036017256641983553
48/1091-1,Yiqiang Chen 0001,0.0003524167945082116
53/6088,Dahua Lin,0.0003518654658179395
18/6404-1,Abhishek Gupta 0001,0.0003507872716882929
36/4847,Victor C. M. Leung,0.00034741450942225047
07/1560,Byron Choi,0.0003460889507249902
56/432,Joo-Hwee Lim,0.0003452981603186819
33/6517,Jin Song Dong,0.0003426743481239322
p/HVincentPoor,H. Vincent Poor,0.0003327654438859435
21/1136,Wu Jigang,0.00033106904334989575
18/5410-4,Di Wang 0004,0.0003306888677751542
99/4522,Xinbo Gao 0001,0.0003273635529719545
20/6534-3,Lei Ma 0003,0.000326054448999773
207/1743,Jiangtian Nie,0.00032491664787128
s/XueminShen,Xuemin Shen,0.00031899814172832496
199/6413,Xinrun Wang,0.0003144349593755938
49/3283-5,Wei Liu 0005,0.0003139369800128031
225/4682,Fengxiang He,0.0003131244414842153
19/3230,Guangtao Zhai,0.0003125049391076381
169/5585,Chongyi Li,0.000310526715604467
31/9004,Yuming Fang,0.00030792259862264405
07/5681-1,Liang Feng 0001,0.0003067745115706877
98/8479,Mingming Gong,0.0003061016492210837
t/NadiaMagnenatThalmann,Nadia Magnenat-Thalmann,0.0003031057294373094
84/8411,Peilin Zhao,0.0003006866605267733
71/5333,Mingli Song,0.00029886053489455326
72/3380,Shi-Qing Xin,0.00029647368532863353
80/7282,Caiming Xiong,0.0002956509351034717
06/6785-25,Yang Zhang 0025,0.0002956223265728853
33/1903,Xiaokui Xiao,0.0002940430022400398
177/5658,Aishan Liu,0.00029339205221213567
174/7172,Chaoyue Wang,0.0002929184111686985
59/3754-3,Han Hu 0003,0.00029269792590398333
