pid,name,weighted_degree
174/9863,Zehui Xiong,2158
145/4239,Jiawen Kang 0001,1937
174/9678,Hongyang Du,1491
86/1369,Dong In Kim,1365
37/1304-1,Ping Wang 0001,1152
83/514,Zhu Han 0001,1065
191/5298,Shangchen Zhou,1023
05/3499-37,Jing Zhang 0037,1004
05/6300-2,Ziwei Liu 0002,973
36/4118,Haizhou Li 0001,937
91/3680-8,Li Shen 0008,931
169/5585,Chongyi Li,918
70/6443-1,Bo Du 0001,844
24/8616,Radu Timofte,813
19/3230,Guangtao Zhai,803
134/1620,Ruicheng Feng,791
264/5802-1,Haoning Wu 0001,785
l/XuelongLi,Xuelong Li 0001,782
127/0713,Xiaofei Xie,764
88/3340-6,Liang Ding 0006,754
16/9879,Wenxiu Sun,747
25/3038-5,Qing Guo 0005,729
37/8852,Dinh Thai Hoang,665
76/3131,Cyril Leung,649
193/4403,Zicheng Zhang,603
150/6667,Tongliang Liu,601
s/JunSun1,Jun Sun 0001,599
s/XueminShen,Xuemin Shen,592
285/1721,Minrui Xu,588
70/6176-1,Bin Ma 0001,573
20/6534-3,Lei Ma 0003,555
61/1140,Jinwei Gu,554
82/6362-1,Qiang Yang 0001,549
53/6088,Dahua Lin,532
57/5272-2,Yong Luo 0002,511
331/2274,Yuekun Dai,506
35/11103,Felix Juefei-Xu,500
99/4522,Xinbo Gao 0001,486
96/6014,Xiong Xiao,474
33/6517,Jin Song Dong,473
43/7400,Yufei Xu,473
215/3264,Qingpeng Zhu,470
l/XiaoliLi,Xiaoli Li 0001,462
139/6983,Xiongkuo Min,460
l/EePengLim,Ee-Peng Lim,453
82/5713,Lizhen Cui,452
77/7902-4,Tianwei Zhang 0004,449
26/1181,Haihua Xu 0001,444
173/5360-1,Nguyen Cong Luong 0001,444
29/4867-20,Yong Liu 0020,432
06/6785-25,Yang Zhang 0025,427
80/7282,Caiming Xiong,427
08/1924,Kai Keng Ang,426
k/AlexChiChungKot,Alex C. Kot,415
180/8218-1,Sen Chen 0001,414
97/2966-2,Chang Xu 0002,411
24/6606,Tat-Seng Chua,407
204/3729,Yuekang Li,395
239/4017,Xiangtai Li,394
09/5042-29,Wei Sun 0029,392
01/753,Chau Yuen,391
t/StephenJohnTurner,Stephen John Turner,389
255/5085,Yihao Huang 0001,389
207/1743,Jiangtian Nie,388
116/4904,Soujanya Poria,385
115/7106-1,Jiacheng Wang 0001,376
16/1278-5,Chao Dong 0005,375
03/5204-1,Xinmei Tian 0001,373
223/4246,Fangneng Zhan,369
