pid,name,pagerank_score
174/9863,Zehui Xiong,0.002242773751006743
145/4239,Jiawen Kang 0001,0.0020316055770734634
174/9678,Hongyang Du,0.001466454285380417
86/1369,Dong In Kim,0.0013379896993793007
83/514,Zhu Han 0001,0.0011817344488425244
37/1304-1,Ping Wang 0001,0.0011754737606978023
91/3680-8,Li Shen 0008,0.0011073375219080347
l/XuelongLi,Xuelong Li 0001,0.001003607436267483
05/3499-37,Jing Zhang 0037,0.0010005267565477611
70/6443-1,Bo Du 0001,0.0009408814900030544
36/4118,Haizhou Li 0001,0.0008604384702926386
88/3340-6,Liang Ding 0006,0.0008526657740063106
05/6300-2,Ziwei Liu 0002,0.0008292122666888774
127/0713,Xiaofei Xie,0.0008263442428561924
l/EePengLim,Ee-Peng Lim,0.0007910016899835715
76/3131,Cyril Leung,0.0007772650513334861
08/1924,Kai Keng Ang,0.0007757025124825668
s/JunSun1,Jun Sun 0001,0.0007493687792404834
150/6667,Tongliang Liu,0.0007141905154572504
37/8852,Dinh Thai Hoang,0.0007052884177886727
l/XiaoliLi,Xiaoli Li 0001,0.0006966168611849323
82/6362-1,Qiang Yang 0001,0.0006663819572999511
116/4904,Soujanya Poria,0.0006373736451881395
25/3038-5,Qing Guo 0005,0.0006352623141920396
65/1792,Huamin Qu,0.0006300976710909291
285/1721,Minrui Xu,0.0006216982754835584
57/5272-2,Yong Luo 0002,0.0006107465475189916
99/4522,Xinbo Gao 0001,0.0006103399528440375
t/StephenJohnTurner,Stephen John Turner,0.0006046183998606353
s/XueminShen,Xuemin Shen,0.0005834024758709271
33/6517,Jin Song Dong,0.0005824261816796994
20/6534-3,Lei Ma 0003,0.0005740335099697559
03/6772,Amir Hussain 0001,0.0005731404595229162
77/7902-4,Tianwei Zhang 0004,0.0005613187118395532
29/4867-20,Yong Liu 0020,0.0005607722966784285
k/AlexChiChungKot,Alex C. Kot,0.0005599571805875945
82/5713,Lizhen Cui,0.0005480780024982761
191/5298,Shangchen Zhou,0.0005436658511054981
24/6606,Tat-Seng Chua,0.000538357926242571
19/3230,Guangtao Zhai,0.0005275564627071854
324/1909,Rui Mao 0010,0.0005197659668468003
173/5360-1,Nguyen Cong Luong 0001,0.0005145207811515498
18/6404-1,Abhishek Gupta 0001,0.0005089865958491208
16/0-8,Min Wu 0008,0.0004932727242327189
07/1560,Byron Choi,0.0004914691790128018
94/7837,Shivam Bhasin,0.0004866174704917303
70/6176-1,Bin Ma 0001,0.0004853105336600341
169/5585,Chongyi Li,0.0004833119610852725
199/6413,Xinrun Wang,0.00048303996486134674
c/AdrianDavidCheok,Adrian David Cheok,0.0004824570169053606
h/StevenCHHoi,Steven C. H. Hoi,0.000479268419144275
35/11103,Felix Juefei-Xu,0.0004766339342272936
204/3729,Yuekang Li,0.00047452257417498464
21/1136,Wu Jigang,0.00047031841141225236
264/5802-1,Haoning Wu 0001,0.0004685566404733389
53/6088,Dahua Lin,0.00046547446465352275
163/5129-1,Zhu Sun 0001,0.00046431712384060287
06/4240-15,Zhe Chen 0015,0.0004634654573623771
55/7901-1,Xianglong Liu 0001,0.0004614450371817046
06/6785-25,Yang Zhang 0025,0.0004604208326052442
180/8218-1,Sen Chen 0001,0.00044874578659453973
56/432,Joo-Hwee Lim,0.0004475777177161471
59/3754-3,Han Hu 0003,0.00044540574737310975
119/5942,Ming-Feng Ge,0.00044140242408943384
80/7282,Caiming Xiong,0.00044046460066950914
97/2966-2,Chang Xu 0002,0.0004336695394312717
84/4581-1,Nan Zhao 0001,0.0004330261705338007
35/5873,Ivor W. Tsang,0.00043205720299991534
207/1743,Jiangtian Nie,0.00042838940508461304
18/5410-4,Di Wang 0004,0.0004255932215648849
l/MalcolmYokeHeanLow,Malcolm Yoke Hean Low,0.0004185566204394645
96/6014,Xiong Xiao,0.0004166837770248124
31/9004,Yuming Fang,0.0004149937387685683
t/NadiaMagnenatThalmann,Nadia Magnenat-Thalmann,0.00041431935348079603
255/5085,Yihao Huang 0001,0.00041194831876621674
142/8486,Yibing Zhan,0.0004102936357511115
33/1903,Xiaokui Xiao,0.0004074709592853268
76/847-6,Lei Feng 0006,0.00040424997508605836
16/9879,Wenxiu Sun,0.00040345736284783183
71/5333,Mingli Song,0.0003993252569058912
115/7106-1,Jiacheng Wang 0001,0.00038990279079320427
01/753,Chau Yuen,0.00038858149588107214
134/1620,Ruicheng Feng,0.0003872954724869011
24/8616,Radu Timofte,0.00038398060186761615
y/ShuichengYan,Shuicheng Yan,0.00038367080046117924
53/6625,Lidong Bing,0.00038190996149444135
28/10770,Lefei Zhang,0.00038179979387707865
26/1181,Haihua Xu 0001,0.00038141938442364784
98/8479,Mingming Gong,0.00038086025783593507
92/249,A. Prasad Vinod 0001,0.0003802474920190301
79/1442-6,Chao Xu 0006,0.00037907938919661015
p/HVincentPoor,H. Vincent Poor,0.00037457137815667397
177/5658,Aishan Liu,0.0003740116096336976
54/4934,Björn W. Schuller,0.00037263448998825304
91/9687,Fayao Liu,0.00037046373988994794
48/1091-1,Yiqiang Chen 0001,0.00036923019873031347
225/4682,Fengxiang He,0.00036591940028298165
239/4017,Xiangtai Li,0.0003608940604943173
83/1359-1,Daqing Zhang 0001,0.0003600783800252687
188/6350,Yi Tay,0.0003598396734630285
72/3380,Shi-Qing Xin,0.00035951420466008826
04/1538,Edwin Lughofer,0.00035939109543644095
174/7172,Chaoyue Wang,0.00035517322823677065
00/5179-1,Rui Tan 0001,0.00035411163562133557
92/3836,Shimin Gong,0.00035127276569916024
62/6016-1,Jiaxing Huang 0001,0.0003498300951255142
56/1673,Chunhua Shen,0.00034807835634888257
23/8015,Xinchao Wang,0.00034786705788428295
00/5480,See-Kiong Ng,0.0003446943696014148
97/4626-69,Yi Liu 0069,0.0003420652235259873
07/5681-1,Liang Feng 0001,0.0003420025422854888
43/3254,Haihong Zhang,0.0003419132461206758
193/4403,Zicheng Zhang,0.00034191253769174566
223/4246,Fangneng Zhan,0.000339834609668711
