pid,name,pagerank_score
174/9863,Zehui Xiong,0.0023023071107404003
145/4239,Jiawen Kang 0001,0.0020827379616122394
174/9678,Hongyang Du,0.0014317932270194787
86/1369,Dong In Kim,0.001387619955945082
83/514,Zhu Han 0001,0.0012249580503146723
37/1304-1,Ping Wang 0001,0.0012186789696238887
91/3680-8,Li Shen 0008,0.0011346099843597454
05/3499-37,Jing Zhang 0037,0.0010259542988504077
l/XuelongLi,Xuelong Li 0001,0.0010258279466782815
70/6443-1,Bo Du 0001,0.0009531463885199127
36/4118,Haizhou Li 0001,0.0008775793186178465
88/3340-6,Liang Ding 0006,0.0008721268368977916
05/6300-2,Ziwei Liu 0002,0.0008490113394774046
127/0713,Xiaofei Xie,0.0008458295258416386
76/3131,Cyril Leung,0.0007965162163410919
l/EePengLim,Ee-Peng Lim,0.0007960172597851009
08/1924,Kai Keng Ang,0.0007941009702044099
s/JunSun1,Jun Sun 0001,0.0007669614000731356
37/8852,Dinh Thai Hoang,0.0007369710614377843
150/6667,Tongliang Liu,0.0007306456666231067
l/XiaoliLi,Xiaoli Li 0001,0.0007144839174837724
82/6362-1,Qiang Yang 0001,0.0006843949562088893
116/4904,Soujanya Poria,0.0006513130448359631
65/1792,Huamin Qu,0.0006445889276929503
25/3038-5,Qing Guo 0005,0.0006438610349052069
285/1721,Minrui Xu,0.000643847688596909
57/5272-2,Yong Luo 0002,0.0006248525695024784
99/4522,Xinbo Gao 0001,0.0006239081479255578
t/StephenJohnTurner,Stephen John Turner,0.0006192816300512337
33/6517,Jin Song Dong,0.0005962058047469955
s/XueminShen,Xuemin Shen,0.0005885932349510842
20/6534-3,Lei Ma 0003,0.0005876167031916576
03/6772,Amir Hussain 0001,0.0005859170610751436
k/AlexChiChungKot,Alex C. Kot,0.0005742815201278656
29/4867-20,Yong Liu 0020,0.0005737008944054809
77/7902-4,Tianwei Zhang 0004,0.000572874965529826
82/5713,Lizhen Cui,0.0005607313834204954
191/5298,Shangchen Zhou,0.000555332766117297
24/6606,Tat-Seng Chua,0.000550336229539131
19/3230,Guangtao Zhai,0.0005395239892168692
324/1909,Rui Mao 0010,0.00053108026327397
173/5360-1,Nguyen Cong Luong 0001,0.0005307309263730134
18/6404-1,Abhishek Gupta 0001,0.0005203993684900432
16/0-8,Min Wu 0008,0.0005060551793654983
94/7837,Shivam Bhasin,0.0004979051547575731
70/6176-1,Bin Ma 0001,0.0004952351000962557
169/5585,Chongyi Li,0.0004941329315563405
c/AdrianDavidCheok,Adrian David Cheok,0.0004931025385789744
199/6413,Xinrun Wang,0.0004929671964793007
204/3729,Yuekang Li,0.0004857434887304615
h/StevenCHHoi,Steven C. H. Hoi,0.00048250339669507394
21/1136,Wu Jigang,0.00048133865621860885
35/11103,Felix Juefei-Xu,0.0004813093393790546
264/5802-1,Haoning Wu 0001,0.0004791800089698997
06/4240-15,Zhe Chen 0015,0.00047762108370696195
53/6088,Dahua Lin,0.0004760643122757528
163/5129-1,Zhu Sun 0001,0.00047529379785134153
55/7901-1,Xianglong Liu 0001,0.0004729018351260792
06/6785-25,Yang Zhang 0025,0.0004680402652984288
180/8218-1,Sen Chen 0001,0.0004593067175756301
56/432,Joo-Hwee Lim,0.0004571101058444157
59/3754-3,Han Hu 0003,0.0004557116671670996
80/7282,Caiming Xiong,0.00045261308574278
119/5942,Ming-Feng Ge,0.0004521907277314817
97/2966-2,Chang Xu 0002,0.0004430756984716047
207/1743,Jiangtian Nie,0.00044296619879586013
84/4581-1,Nan Zhao 0001,0.00044204130275551733
18/5410-4,Di Wang 0004,0.00043511343830053
35/5873,Ivor W. Tsang,0.0004313217320455216
l/MalcolmYokeHeanLow,Malcolm Yoke Hean Low,0.00042866348210088935
96/6014,Xiong Xiao,0.000424783606648424
31/9004,Yuming Fang,0.0004247073208174386
t/NadiaMagnenatThalmann,Nadia Magnenat-Thalmann,0.00042437663127641717
142/8486,Yibing Zhan,0.0004191772910603506
